node_a,node_b,score_mean,score_p75,score_max,pair_count,human_action,human_notes
L3_N08db7b5b,L3_Nb0e7dd4f,0.4212718904018402,0.43667322397232056,0.4520745800372815,2,keep,
L3_N08db7b5b,L3_Nb1103d45,0.13358311355113983,0.13358311355113983,0.1335831197464679,1,keep,
L3_N08db7b5b,L3_Nb148a883,0.2243875116109848,0.2243875116109848,0.2243875050361883,1,keep,
L3_N08db7b5b,L3_Nb28e82d6,0.1737932562828064,0.1737932562828064,0.1737932592786574,1,keep,
L3_N08db7b5b,L3_Nb2d030f0,0.15468379855155945,0.15468379855155945,0.154683797533401,1,keep,
L3_N08db7b5b,L3_Nb328f7fc,0.4788682460784912,0.5252231359481812,0.5659890517017687,4,keep,
L3_N08db7b5b,L3_Nb394347b,0.17220357060432434,0.17220357060432434,0.1722035687897777,1,keep,
L3_N08db7b5b,L3_Nbf5cb6ef,0.16666476428508759,0.16666476428508759,0.1666647593180339,1,keep,
L3_N08db7b5b,L3_Nc21e1f2f,0.13297773897647858,0.13297773897647858,0.1329777319539905,1,keep,
L3_N08db7b5b,L3_Nc3d125b3,0.13397417962551117,0.13397417962551117,0.1339741765024012,1,keep,
L3_N08db7b5b,L3_Nc5166684,0.1776067167520523,0.1776067167520523,0.1776067241580389,1,keep,
L3_N08db7b5b,L3_Nc56580b0,0.1781333088874817,0.1781333088874817,0.1781333048859019,1,keep,
L3_N08db7b5b,L3_Nc92a3618,0.16538813710212708,0.16538813710212708,0.1653881323801619,1,keep,
L3_N08db7b5b,L3_Nca0d54be,0.1395854502916336,0.1395854502916336,0.1395854439582007,1,keep,
L3_N08db7b5b,L3_Nd290d812,0.18501444160938263,0.18501444160938263,0.1850144482567128,1,keep,
L3_N08db7b5b,L3_Nd3c80123,0.22674256563186646,0.24120841920375824,0.2556742665841434,2,keep,
L3_N08db7b5b,L3_Nd571b089,0.25383248925209045,0.25760117173194885,0.2613698407419472,2,keep,
L3_N08db7b5b,L3_Ne55e384d,0.19257786870002747,0.19257786870002747,0.1925778743279236,1,keep,
L3_N08db7b5b,L3_Ne6cde812,0.17695832252502441,0.17695832252502441,0.1769583246485963,1,keep,
L3_N08db7b5b,L3_Nea54495c,0.2758670449256897,0.2758670449256897,0.2758670465065959,1,keep,
L3_N08db7b5b,L3_Ned79e54c,0.21637333929538727,0.22800318896770477,0.2396330450838942,2,keep,
L3_N08db7b5b,L3_Nef0fcc52,0.14135140180587769,0.14135140180587769,0.141351394956213,1,keep,
L3_N08db7b5b,L3_Nf8bb4ea7,0.17970451712608337,0.1843685507774353,0.1890325666175238,2,keep,
L3_N08db7b5b,L3_Nfc162f8c,0.1794183850288391,0.1794183850288391,0.1794183894682444,1,keep,
L3_N09522c48,L3_N1b187997,0.19206437468528748,0.19343048334121704,0.1947965909591029,2,keep,
L3_N09522c48,L3_N5383b7aa,0.1715734899044037,0.1715734899044037,0.1715734920482163,1,keep,
L3_N09522c48,L3_N55fb6992,0.1795801818370819,0.1795801818370819,0.179580184972506,1,keep,
L3_N09522c48,L3_N62ed0091,0.46904057264328003,0.48250457644462585,0.4959686089383502,2,keep,
L3_N09522c48,L3_N70eeee1d,0.4496988356113434,0.46351850032806396,0.4773381486509793,2,keep,
L3_N09522c48,L3_N9c47a867,0.330058753490448,0.3631530702114105,0.3962473702318846,2,keep,
L3_N09522c48,L3_Ne42076c0,0.7263143062591553,0.7325394153594971,0.7387645066587984,2,keep,
L3_N09522c48,L3_Ne55e384d,0.8126311302185059,0.8137918710708618,0.8149526844368211,2,keep,
L3_N09522c48,L3_Nfc162f8c,0.5270926356315613,0.5480304956436157,0.568968393395511,2,keep,
L3_N0e93e380,L3_N18ada171,0.1984771490097046,0.19887903332710266,0.1992809003803266,2,keep,
L3_N0e93e380,L3_N29e43ee4,0.4113672375679016,0.4113672375679016,0.4113672496335777,1,keep,
L3_N0e93e380,L3_N595f8c05,0.35902100801467896,0.3995836079120636,0.4401461926513679,2,keep,
L3_N0e93e380,L3_N640a2992,0.8309946060180664,0.8323544263839722,0.8337141715309236,2,keep,
L3_N0e93e380,L3_N90c2cae1,0.3055453300476074,0.31129997968673706,0.3170546168416874,2,keep,
L3_N0e93e380,L3_Nd551ce89,0.3797095715999603,0.3850893974304199,0.3904691953366433,2,keep,
L3_N0f65b0c3,L3_N133b0ed2,0.18240855634212494,0.18770158290863037,0.192994626851966,2,keep,
L3_N0f65b0c3,L3_N22dcecc8,0.18887270987033844,0.18887270987033844,0.188872716358815,1,keep,
L3_N0f65b0c3,L3_N2d02331f,0.5029087066650391,0.5058268904685974,0.5087450723924334,2,keep,
L3_N0f65b0c3,L3_N32b417e2,0.18561716377735138,0.18561716377735138,0.1856171572441362,1,keep,
L3_N0f65b0c3,L3_N3ba23cb1,0.18394896388053894,0.1881641298532486,0.1923793036333285,2,keep,
L3_N0f65b0c3,L3_N4da94e7a,0.28059709072113037,0.28059709072113037,0.2805970936072506,1,keep,
L3_N0f65b0c3,L3_N578f3b8a,0.19152460992336273,0.19152460992336273,0.1915246041366049,1,keep,
L3_N0f65b0c3,L3_N65606e29,0.5141129493713379,0.540879487991333,0.5676460760845942,2,keep,
L3_N0f65b0c3,L3_N70eeee1d,0.1954089254140854,0.1954089254140854,0.1954089271952399,1,keep,
L3_N0f65b0c3,L3_N77a3b68b,0.1841396540403366,0.1841396540403366,0.1841396608449196,1,keep,
L3_N0f65b0c3,L3_N8f8e91cf,0.5007785558700562,0.5145776867866516,0.5283768272110657,2,keep,
L3_N0f65b0c3,L3_N98ef0212,0.24204131960868835,0.25522422790527344,0.2684071186571058,2,keep,
L3_N0f65b0c3,L3_N9a9d4b5c,0.18590828776359558,0.18590828776359558,0.1859082876953414,1,keep,
L3_N0f65b0c3,L3_Na7c6a537,0.16649866104125977,0.16649866104125977,0.166498661098165,1,keep,
L3_N0f65b0c3,L3_Nb2d030f0,0.2392878383398056,0.2392878383398056,0.239287833162844,1,keep,
L3_N0f65b0c3,L3_Nb328f7fc,0.24156153202056885,0.25429174304008484,0.2982678142881612,4,keep,
L3_N0f65b0c3,L3_Nc21e1f2f,0.14286403357982635,0.14286403357982635,0.1428640340172033,1,keep,
L3_N0f65b0c3,L3_Nc5166684,0.3342953622341156,0.3342953622341156,0.3342953499741476,1,keep,
L3_N0f65b0c3,L3_Nc56580b0,0.26250678300857544,0.26250678300857544,0.2625067892034789,1,keep,
L3_N0f65b0c3,L3_Nc92a3618,0.1810755878686905,0.1810755878686905,0.1810755933071369,1,keep,
L3_N0f65b0c3,L3_Nd290d812,0.49203723669052124,0.5131856203079224,0.5343339149046874,2,keep,
